year,geo_name,geo,diabetes,physical_inactivity
2016,Alabama,04000US01,0.124,0.293
2015,Alabama,04000US01,0.129,0.294
2015,Alaska,04000US02,0.069,0.201
2016,Alaska,04000US02,0.077,0.203
2015,Arizona,04000US04,0.089,0.204
2016,Arizona,04000US04,0.096,0.206
2015,Arkansas,04000US05,0.117,0.305
2016,Arkansas,04000US05,0.118,0.315
2016,California,04000US06,0.099,0.167
2015,California,04000US06,0.081,0.168
2016,Colorado,04000US08,0.068,0.149
2015,Colorado,04000US08,0.062,0.152
2016,Connecticut,04000US09,0.086,0.218
2015,Connecticut,04000US09,0.085,0.217
2016,Delaware,04000US10,0.107,0.248
2015,Delaware,04000US10,0.098,0.237
2016,Florida,04000US12,0.112,0.239
2015,Florida,04000US12,0.105,0.232
2015,Georgia,04000US13,0.105,0.243
2016,Georgia,04000US13,0.114,0.246
2015,Hawaii,04000US15,0.083,0.182
2016,Hawaii,04000US15,0.092,0.188
2015,Idaho,04000US16,0.089,0.195
2016,Idaho,04000US16,0.081,0.202
2015,Illinois,04000US17,0.092,0.229
2016,Illinois,04000US17,0.097,0.222
2015,Indiana,04000US18,0.108,0.268
2016,Indiana,04000US18,0.103,0.279
2016,Iowa,04000US19,0.091,0.250
2015,Iowa,04000US19,0.091,0.243
2016,Kansas,04000US20,0.098,0.246
2015,Kansas,04000US20,0.096,0.241
2015,Kentucky,04000US21,0.118,0.291
2016,Kentucky,04000US21,0.119,0.286
2015,Louisiana,04000US22,0.121,0.299
2016,Louisiana,04000US22,0.112,0.303
2015,Maine,04000US23,0.098,0.214
2016,Maine,04000US23,0.092,0.214
2015,Maryland,04000US24,0.100,0.229
2016,Maryland,04000US24,0.102,0.232
2016,Massachusetts,04000US25,0.093,0.216
2015,Massachusetts,04000US25,0.089,0.214
2015,Michigan,04000US26,0.108,0.228
2016,Michigan,04000US26,0.102,0.228
2016,Minnesota,04000US27,0.078,0.195
2015,Minnesota,04000US27,0.076,0.193
2015,Mississippi,04000US28,0.135,0.325
2016,Mississippi,04000US28,0.125,0.334
2015,Missouri,04000US29,0.106,0.263
2016,Missouri,04000US29,0.105,0.263
2015,Montana,04000US30,0.076,0.220
2016,Montana,04000US30,0.088,0.220
2015,Nebraska,04000US31,0.086,0.238
2016,Nebraska,04000US31,0.087,0.238
2015,Nevada,04000US32,0.084,0.207
2016,Nevada,04000US32,0.103,0.209
2015,New Hampshire,04000US33,0.091,0.206
2016,New Hampshire,04000US33,0.088,0.208
2016,New Jersey,04000US34,0.098,0.241
2015,New Jersey,04000US34,0.090,0.243
2016,New Mexico,04000US35,0.108,0.202
2015,New Mexico,04000US35,0.079,0.198
2015,New York,04000US36,0.094,0.235
2016,New York,04000US36,0.099,0.242
2015,North Carolina,04000US37,0.107,0.249
2016,North Carolina,04000US37,0.105,0.250
2016,North Dakota,04000US38,0.079,0.252
2015,North Dakota,04000US38,0.084,0.248
2016,Ohio,04000US39,0.114,0.263
2015,Ohio,04000US39,0.112,0.262
2016,Oklahoma,04000US40,0.112,0.305
2015,Oklahoma,04000US40,0.115,0.300
2015,Oregon,04000US41,0.087,0.161
2016,Oregon,04000US41,0.092,0.160
2016,Pennsylvania,04000US42,0.106,0.240
2015,Pennsylvania,04000US42,0.103,0.242
2016,Rhode Island,04000US44,0.093,0.241
2015,Rhode Island,04000US44,0.089,0.242
2015,South Carolina,04000US45,0.120,0.256
2016,South Carolina,04000US45,0.118,0.252
2016,South Dakota,04000US46,0.087,0.240
2015,South Dakota,04000US46,0.087,0.245
2016,Tennessee,04000US47,0.116,0.322
2015,Tennessee,04000US47,0.120,0.303
2016,Texas,04000US48,0.110,0.241
2015,Texas,04000US48,0.094,0.234
2015,Utah,04000US49,0.070,0.166
2016,Utah,04000US49,0.071,0.173
2016,Vermont,04000US50,0.076,0.191
2015,Vermont,04000US50,0.076,0.184
2015,Virginia,04000US51,0.098,0.222
2016,Virginia,04000US51,0.094,0.222
2016,Washington,04000US53,0.085,0.183
2015,Washington,04000US53,0.085,0.181
2015,West Virginia,04000US54,0.129,0.325
2016,West Virginia,04000US54,0.123,0.320
2015,Wisconsin,04000US55,0.086,0.211
2016,Wisconsin,04000US55,0.092,0.217
2015,Wyoming,04000US56,0.082,0.228
2016,Wyoming,04000US56,0.081,0.231
2015,Autauga County,05000US01001,0.121,0.279
